fold,R2_mean,MSE_mean
1,0.8576491804466972,5128188.530277502
2,0.49950079708084566,1828679.036847925
3,0.2884466992878333,894127.604890885
4,0.033833962444589215,7248999.585722871
5,0.8954932850757866,2082321.196555987
6,-0.8552557874410016,2183622.4550091596
7,0.8944730954824595,8069361.552492756
8,0.8366304093123876,392096.07105161884
9,0.40996463657217797,2195764.050261909
10,0.7287399389176248,2843931.0745383813
11,0.9297057603320875,742675.9943633805
12,0.6430547364599155,3573603.9668952175
13,-0.9962621472112348,1582557.4763701882
14,0.7184495467112919,38530331.119877346
15,0.8407160116718628,591349.4723870081
16,0.27422449343726796,1070929.45391715
17,0.6027502953229049,1479527.1631403193
18,0.9077505996964166,2366260.225697814
19,0.8963171824645954,4041161.1167531395
20,0.8616031018974126,8949857.092713322
