fold,R2_mean,MSE_mean
1,0.8582206051686693,21860150.725967534
2,-1.308269924415091,1306239.583391732
3,-0.3363057384325906,1285814.1682752266
4,-0.6490787203841935,3170949.8004600415
5,0.6958379396903401,16235745.845935384
6,-1.2559815233711418,13068232.166401347
7,0.8648214826685268,19234747.900240492
8,0.39123970614866244,817511.3852643692
9,0.109092946552424,1064740.2990280702
10,-0.13326322019902986,8299484.242575831
11,0.8689385870115628,2824936.726549673
12,-0.05588452205809866,3980539.250712466
13,-0.5636191310023182,2232502.031868399
14,0.7460179513855433,44235824.317592904
15,0.7244942227306382,807258.6267024382
16,0.16374477085382674,563454.8350959801
17,-0.06155829812934398,277581.3737515129
18,0.13913568326009734,23328427.508320186
19,0.6632934353836146,23458529.589141913
20,0.8541443154670894,42527728.995657854
