Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	315	0.872	157.167	49.894%	20.94	49.125%	1000.0	0.676
00493087-9d9d-40ca-86d5-936f1b951c93	51	0.761	53.297	104.504%	8.446	64.969%	0.85003	0.706
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	43	0.658	43.982	102.284%	6.865	79.27%	1.13615	0.523
005794f1-5a87-45b5-9811-83ddf6924568	104	0.79	77.856	74.862%	9.886	61.548%	1000.0	0.586
005e85a3-3571-462d-8dc9-2babfc7ace21	27	0.687	28.582	105.859%	4.67	72.933%	1.05934	0.596
008aef39-0c97-48ce-9dfd-f12d67116c59	65	0.773	62.71	96.477%	9.112	65.59%	0.806	0.701
008bad10-d41b-4bbb-86fa-9976ecea46b1	48	0.679	50.913	106.069%	8.001	77.713%	0.93733	0.578
00aa769d-622c-433e-8a8a-63fb5c41ea42	4687	0.994	1229.814	26.239%	335.496	17.366%	1000.0	0.994
00b9d0e6-69dc-4345-bffd-ce32880c8eef	81	0.723	65.493	80.856%	9.048	70.016%	0.58445	0.473
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	106	0.739	86.483	81.588%	10.752	67.731%	1000.0	0.417
00c27940-c623-11e3-bf01-24c6515278c0	334	0.918	138.28	41.401%	18.725	39.76%	0.16681	0.82
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	190	0.812	110.975	58.408%	15.748	59.268%	0.34722	0.556
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	146	0.82	97.516	66.792%	12.787	57.3%	0.47442	0.64
01658141-8398-4585-9f0f-8355dd9b0604	441	0.991	108.843	24.681%	18.854	14.486%	0.11755	0.99
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	150	0.813	96.062	64.041%	12.638	58.67%	0.38154	0.58
0176cf1d-0760-4769-a493-277f4bb7585e	834	0.962	252.94	30.329%	35.894	28.423%	0.10687	0.934
0192d529-7340-45d8-a5f0-249cbb11ca19	57	0.745	51.262	89.933%	7.219	67.318%	0.70741	0.616
01b0848c-ae36-4ade-a3da-d297b003c99f	660	0.928	212.53	32.202%	30.718	38.008%	0.10224	0.761
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	82	0.759	64.337	78.46%	8.385	65.08%	1000.0	0.518
01dc6872-c623-11e3-bf01-24c6515278c0	195	0.835	114.092	58.509%	16.576	55.161%	0.3314	0.68
01df36af-3617-40fc-9892-f54ce433cf71	114	0.757	83.105	72.899%	11.404	65.406%	0.56568	0.485
020fab36-c7de-4933-b2bf-dc7b019a1326	209	0.886	102.06	48.833%	14.115	47.076%	0.23333	0.761
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	619	0.97	181.93	29.391%	25.588	27.626%	0.0882	0.954
02917220-6a7a-46a1-8656-907e96bef88e	465	0.943	194.907	41.915%	27.039	33.675%	0.17618	0.911
02c6a893-49c5-49d1-8eb1-195021e70d52	61	0.831	44.22	72.492%	6.51	55.619%	0.58991	0.754
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	72	0.801	53.161	73.835%	7.368	60.565%	0.52709	0.667
02e5c36f-5bec-45e2-a048-875653b85ca1	103	0.745	85.93	83.427%	13.806	73.275%	0.7114	0.637
030695f6-c623-11e3-bf01-24c6515278c0	268	0.905	120.142	44.829%	15.574	42.513%	0.19136	0.769
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	135	0.898	93.18	69.022%	13.385	44.057%	0.51504	0.869
0363fe2c-d765-450e-8b1a-d13a23d9af2a	20	0.698	21.558	107.79%	3.676	72.092%	1.25062	0.626
0385961e-ea99-40b2-ad79-6872bc30d8a1	63	0.86	43.406	68.898%	6.095	50.969%	0.59738	0.797
03ad38a6-0902-4aaa-84a3-91ea88fa9883	114	0.733	87.773	76.994%	12.385	70.8%	0.56029	0.494
03b5268e-881e-49e7-824f-170c3fc8b11b	35	0.674	40.051	114.431%	5.717	75.724%	1.24842	0.559
