Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	472	0.868	241.789	51.226%	31.518	49.959%	0.22198	0.649
00493087-9d9d-40ca-86d5-936f1b951c93	76	0.807	67.621	88.975%	10.461	59.414%	0.676	0.754
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	65	0.686	60.386	92.902%	9.078	79.315%	0.87034	0.527
005794f1-5a87-45b5-9811-83ddf6924568	156	0.805	99.297	63.652%	13.255	60.126%	1000.0	0.55
005e85a3-3571-462d-8dc9-2babfc7ace21	40	0.637	42.357	105.892%	6.497	77.654%	0.91199	0.478
008aef39-0c97-48ce-9dfd-f12d67116c59	98	0.803	81.831	83.501%	12.261	63.064%	0.63101	0.734
008bad10-d41b-4bbb-86fa-9976ecea46b1	72	0.729	67.111	93.21%	10.123	71.941%	0.74365	0.62
00aa769d-622c-433e-8a8a-63fb5c41ea42	7030	0.994	1803.375	25.653%	467.548	16.386%	1000.0	0.994
00b9d0e6-69dc-4345-bffd-ce32880c8eef	122	0.811	82.663	67.757%	11.0	59.136%	0.40902	0.628
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	160	0.757	110.572	69.108%	15.46	69.699%	1000.0	0.47
00c27940-c623-11e3-bf01-24c6515278c0	501	0.918	202.04	40.327%	26.78	39.671%	0.15807	0.794
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	284	0.862	142.016	50.006%	19.025	51.103%	0.2231	0.615
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	220	0.899	109.156	49.616%	14.154	43.806%	0.28159	0.793
01658141-8398-4585-9f0f-8355dd9b0604	662	0.99	177.733	26.848%	35.609	17.403%	0.15312	0.99
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	225	0.818	137.892	61.285%	17.702	57.768%	0.35174	0.516
0176cf1d-0760-4769-a493-277f4bb7585e	1252	0.979	304.008	24.282%	41.446	21.3%	0.0671	0.965
0192d529-7340-45d8-a5f0-249cbb11ca19	85	0.831	61.807	72.714%	8.859	58.799%	0.51657	0.75
01b0848c-ae36-4ade-a3da-d297b003c99f	990	0.935	315.579	31.877%	43.803	35.637%	0.0925	0.792
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	123	0.795	80.597	65.526%	11.0	60.645%	0.39676	0.544
01dc6872-c623-11e3-bf01-24c6515278c0	292	0.86	150.949	51.695%	22.744	52.765%	0.22609	0.73
01df36af-3617-40fc-9892-f54ce433cf71	171	0.784	116.705	68.249%	15.795	62.386%	1000.0	0.528
020fab36-c7de-4933-b2bf-dc7b019a1326	313	0.872	156.267	49.926%	22.193	49.44%	0.22637	0.729
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	929	0.984	197.774	21.289%	25.197	17.895%	0.05358	0.972
02917220-6a7a-46a1-8656-907e96bef88e	697	0.947	249.345	35.774%	36.756	33.015%	0.13865	0.912
02c6a893-49c5-49d1-8eb1-195021e70d52	91	0.86	58.362	64.134%	8.12	51.05%	0.45924	0.778
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	108	0.88	64.618	59.831%	9.055	48.401%	0.3705	0.813
02e5c36f-5bec-45e2-a048-875653b85ca1	155	0.799	111.128	71.695%	18.154	66.245%	0.53617	0.711
030695f6-c623-11e3-bf01-24c6515278c0	402	0.915	167.295	41.616%	22.067	40.329%	0.14571	0.793
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	203	0.946	111.19	54.773%	16.895	34.48%	0.34515	0.936
0363fe2c-d765-450e-8b1a-d13a23d9af2a	30	0.727	28.94	96.467%	4.582	70.702%	1000.0	0.637
0385961e-ea99-40b2-ad79-6872bc30d8a1	95	0.847	65.435	68.879%	8.773	54.304%	0.50646	0.756
03ad38a6-0902-4aaa-84a3-91ea88fa9883	171	0.836	104.633	61.189%	13.99	56.505%	0.38241	0.667
03b5268e-881e-49e7-824f-170c3fc8b11b	52	0.658	57.0	109.615%	9.345	78.421%	1.04782	0.559
03c3c692-8a86-4843-85ae-e045f0fa6f88	531	0.917	211.181	39.77%	28.973	40.174%	0.17527	0.801
03c88506-d72e-4a44-a34e-a7f0564f1799	271	0.875	142.138	52.449%	18.548	48.559%	0.28418	0.716
03ced0ce-186a-4349-8d98-572c2bc90382	133	0.845	81.778	61.487%	10.396	53.973%	0.40984	0.666
03cff38d-7e29-4409-a508-749bddb1b3df	531	0.819	280.296	52.786%	40.935	58.141%	0.28776	0.493
041e3b42-c623-11e3-bf01-24c6515278c0	250	0.913	108.865	43.546%	14.239	41.208%	0.30744	0.805
04339769-517c-448d-a7ca-951f83608c60	98	0.839	71.317	72.772%	10.97	57.978%	0.55671	0.78
0448206f-3ade-4087-b1a9-4fb2d14e1367	572	0.922	222.9	38.969%	28.601	38.756%	1000.0	0.776
046d7386-95c8-4501-9e55-c85bec272a7a	118	0.828	85.597	72.54%	11.44	56.089%	0.52078	0.72
04aa6b77-8074-480c-872e-a1a47afa5314	23121	0.995	2959.718	12.801%	855.684	10.099%	1000.0	0.995
04b570c2-3224-4e9b-81cc-089b4a7ff07a	82	0.81	69.7	85.0%	9.882	58.846%	0.64577	0.738
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	40	0.727	39.821	99.552%	6.175	69.918%	0.78996	0.639
04c09376-8756-41d9-bbca-f464170a8cfb	2277	0.991	544.684	23.921%	127.505	16.028%	1000.0	0.99
04db8bef-8777-48ac-bc2e-3c9acb103f48	233	0.856	116.597	50.042%	15.985	51.89%	0.28089	0.592
