Samples	S1 (SBS1 - 0.99)	S2 (SBS2 - 0.99)	S3 (SBS3 - 0.97)	S4 (SBS4 - 0.98)	S5 (SBS5 - 0.98)	S6 (SBS7a - 1.00)	S7 (SBS7b - 0.96)	S8 (SBS8 - 0.92)	S9 (SBS9 - 0.94)	S10 (SBS10a - 1.00)	S11 (SBS10d - 0.98)	S12 (SBS11 - 0.99)	S13 (SBS13 - 0.99)	S14 (SBS14 - 0.98)	S15 (SBS15 - 0.97)	S16 (SBS17 - 0.99)	S17 (SBS18 - 0.97)	S18 (SBS19 - 0.95)	S19 (SBS20 - 0.98)	S20 (SBS22 - 0.99)	S21 (SBS23 - 0.94)	S22 (SBS26 - 0.94)	S23 (SBS28 - 0.96)	S24 (SBS31 - 0.98)	S25 (SBS32 - 0.94)	S26 (SBS44 - 0.97)	S27 (SBS88 - 0.92)	S28 (SBS92 - 0.95)	S29 (SBS97 - 0.95)
0009b464-b376-4fbc-8a56-da538269a02f	2193	1382	12152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00493087-9d9d-40ca-86d5-936f1b951c93	1545	0	0	0	993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	687	0	0	0	1257	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
005794f1-5a87-45b5-9811-83ddf6924568	0	330	4392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	985	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1334	0
008bad10-d41b-4bbb-86fa-9976ecea46b1	1835	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00aa769d-622c-433e-8a8a-63fb5c41ea42	0	0	0	0	0	0	0	0	0	234336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	1223	0	0	0	1088	0	0	0	1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	0	286	3456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1581	0
00c27940-c623-11e3-bf01-24c6515278c0	0	0	0	5406	8904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2391	0	0	0	0	0	0	0
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	1787	492	4495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2704	0
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	2208	832	3592	0	0	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01658141-8398-4585-9f0f-8355dd9b0604	4558	12029	0	0	0	0	0	0	0	0	0	0	5473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	1519	318	3755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919	0
0176cf1d-0760-4769-a493-277f4bb7585e	0	1896	0	30039	9784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0192d529-7340-45d8-a5f0-249cbb11ca19	1946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	0
01b0848c-ae36-4ade-a3da-d297b003c99f	4428	1544	13838	0	0	0	0	11734	0	0	0	0	1444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	0	0	0	0	0	0	0	2132	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0	0	0	0	1380	0
01dc6872-c623-11e3-bf01-24c6515278c0	0	0	0	0	4539	0	0	3032	0	0	0	0	0	0	0	0	0	0	0	0	0	2159	0	0	0	0	0	0	0
01df36af-3617-40fc-9892-f54ce433cf71	1264	337	2726	0	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020fab36-c7de-4933-b2bf-dc7b019a1326	3808	822	5804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	6949	1703	13873	0	0	0	0	0	0	0	0	0	0	0	0	8437	0	0	0	0	0	0	0	0	0	0	0	0	0
02917220-6a7a-46a1-8656-907e96bef88e	0	0	0	0	0	0	0	0	18385	0	0	0	0	0	0	4858	0	0	0	0	0	0	0	0	0	0	0	0	0
02c6a893-49c5-49d1-8eb1-195021e70d52	1615	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0	0	0	0	0	0	0
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	2254	179	1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02e5c36f-5bec-45e2-a048-875653b85ca1	2772	0	0	0	0	0	0	2383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030695f6-c623-11e3-bf01-24c6515278c0	0	0	0	0	7934	0	0	5468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	6770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0363fe2c-d765-450e-8b1a-d13a23d9af2a	232	0	0	0	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0385961e-ea99-40b2-ad79-6872bc30d8a1	1690	0	0	0	763	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	2006	0	0	0	1512	0	0	0	2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03b5268e-881e-49e7-824f-170c3fc8b11b	982	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0
03c3c692-8a86-4843-85ae-e045f0fa6f88	4921	1939	7838	0	0	0	0	0	0	0	0	0	0	0	0	3011	0	0	0	0	0	0	0	0	0	0	0	0	0
03c88506-d72e-4a44-a34e-a7f0564f1799	0	0	0	2141	6903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03ced0ce-186a-4349-8d98-572c2bc90382	1775	0	2108	0	0	306	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03cff38d-7e29-4409-a508-749bddb1b3df	4610	0	6630	0	0	0	0	0	5474	0	0	0	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041e3b42-c623-11e3-bf01-24c6515278c0	0	0	0	1200	5927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0
04339769-517c-448d-a7ca-951f83608c60	1456	0	0	0	798	0	0	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	0	0	10557	0	0	0	0	8496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
046d7386-95c8-4501-9e55-c85bec272a7a	2809	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0
04aa6b77-8074-480c-872e-a1a47afa5314	0	0	0	0	0	770694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04b570c2-3224-4e9b-81cc-089b4a7ff07a	878	0	0	0	0	0	0	1469	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	805	0	0	317	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04c09376-8756-41d9-bbca-f464170a8cfb	0	0	0	0	0	75885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
