,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
0,70769,0.6070088826018398,2620607.416183239,S10 (SBS10a - 1.00),0.9988891700394884,S23 (SBS28 - 0.96),-0.4613818447661715,S14 (SBS14 - 0.98),16468115.164271172,S21 (SBS23 - 0.94),103722.75496521736
1,80764,0.07863465484227979,7844852.4956320645,S6 (SBS7a - 1.00),0.9977257888520322,S21 (SBS23 - 0.94),-9.170610320474223,S19 (SBS20 - 0.98),50854543.21324062,S13 (SBS13 - 0.99),165051.2735942667
2,42034,0.546640000780332,6013074.757063631,S10 (SBS10a - 1.00),0.9986055709629278,S5 (SBS5 - 0.98),-1.6196855025839567,S19 (SBS20 - 0.98),32927617.14672584,S24 (SBS31 - 0.98),128050.4834104686
3,70780,0.5092169086408894,2887255.161104927,S10 (SBS10a - 1.00),0.9985227094428711,S19 (SBS20 - 0.98),-1.8009128500408842,S14 (SBS14 - 0.98),14011210.641584434,S13 (SBS13 - 0.99),147896.0598198353
4,70932,0.2478934995628741,4979323.247791706,S10 (SBS10a - 1.00),0.9983669329980507,S21 (SBS23 - 0.94),-7.802879436413983,S14 (SBS14 - 0.98),33477883.29583175,S13 (SBS13 - 0.99),105259.27349110086
5,33905,0.47067769671667076,4458553.390407275,S10 (SBS10a - 1.00),0.9982286679605591,S5 (SBS5 - 0.98),-1.4634924815491352,S14 (SBS14 - 0.98),20636198.634545647,S18 (SBS19 - 0.95),132788.8551861273
6,49923,0.5960735875435342,4423960.3652221095,S10 (SBS10a - 1.00),0.9986654320281306,S8 (SBS8 - 0.92),-0.11062537719289645,S14 (SBS14 - 0.98),21529965.268998474,S24 (SBS31 - 0.98),139748.9710810295
7,58585,0.4902131582187253,7970957.579483801,S10 (SBS10a - 1.00),0.9992048359367443,S21 (SBS23 - 0.94),-0.5348304779497182,S14 (SBS14 - 0.98),67321136.66847806,S24 (SBS31 - 0.98),177724.7988434147
8,14826,0.10829318792765691,5577618.753228271,S10 (SBS10a - 1.00),0.9975992440468422,S12 (SBS11 - 0.99),-5.439345441748775,S14 (SBS14 - 0.98),52338398.52642736,S24 (SBS31 - 0.98),141202.80370046
9,28886,0.4275608964494294,7498872.2956315335,S10 (SBS10a - 1.00),0.9982004979145319,S17 (SBS18 - 0.97),-1.2748253895346848,S14 (SBS14 - 0.98),49481026.7563126,S21 (SBS23 - 0.94),199060.36792339286
