,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
0,27185,0.5436582410475609,10906006.109150223,S6 (SBS7a - 1.00),0.9974912552452803,S17 (SBS18 - 0.97),-2.9883753474331436,S19 (SBS20 - 0.98),140830037.1166774,S21 (SBS23 - 0.94),68116.34764221005
1,79651,-3.3010373222695506,29672067.206715703,S10 (SBS10a - 1.00),0.999440963192163,S24 (SBS31 - 0.98),-111.94194359484077,S24 (SBS31 - 0.98),235418828.24219194,S13 (SBS13 - 0.99),99793.77317517024
2,83311,0.7135413265289129,17882240.612361744,S10 (SBS10a - 1.00),0.9976116981324937,S24 (SBS31 - 0.98),-0.49416101974700144,S14 (SBS14 - 0.98),147914326.8196918,S13 (SBS13 - 0.99),90715.82064396124
3,97128,0.6618330724462479,11721653.383839594,S10 (SBS10a - 1.00),0.9976716728010108,S29 (SBS97 - 0.95),-1.0520220173256902,S14 (SBS14 - 0.98),109606120.65281262,S13 (SBS13 - 0.99),142738.87649373146
4,22882,0.7549978306617026,14998578.666860702,S10 (SBS10a - 1.00),0.9978637885930961,S12 (SBS11 - 0.99),-0.9510670970314052,S14 (SBS14 - 0.98),183421919.5509756,S13 (SBS13 - 0.99),138082.56447520637
5,60256,0.6981005081674683,11652826.353734415,S10 (SBS10a - 1.00),0.9982909151625741,S21 (SBS23 - 0.94),-1.6483322710563622,S14 (SBS14 - 0.98),147535280.12425235,S21 (SBS23 - 0.94),23282.501340960353
6,84395,0.45416655664160116,32834260.279180173,S10 (SBS10a - 1.00),0.9973818893514198,S8 (SBS8 - 0.92),-7.306176821251439,S14 (SBS14 - 0.98),388209327.8529862,S18 (SBS19 - 0.95),105333.27732435417
7,73798,0.7404022679309634,23900469.914975792,S10 (SBS10a - 1.00),0.9979823466270153,S5 (SBS5 - 0.98),-0.27035777802593275,S23 (SBS28 - 0.96),244732623.0210676,S21 (SBS23 - 0.94),131615.11493947223
8,19131,0.5652236218370257,18710806.151526567,S10 (SBS10a - 1.00),0.9977987477397084,S8 (SBS8 - 0.92),-6.227464584285332,S19 (SBS20 - 0.98),232473819.7863879,S13 (SBS13 - 0.99),104119.91604942152
9,47930,-1.311044183892882,16647473.020916577,S10 (SBS10a - 1.00),0.9988767995812629,S24 (SBS31 - 0.98),-57.06576591824868,S19 (SBS20 - 0.98),109179774.7742621,S13 (SBS13 - 0.99),158794.12186275914
