,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
0,7374,-0.05868360774069698,160211412.33316198,S12 (SBS11 - 0.99),-0.0006117480071943238,S3 (SBS3 - 0.97),-0.2759164044351037,S10 (SBS10a - 1.00),3251434453.911861,S21 (SBS23 - 0.94),30440.980669473887
1,66869,-0.060003243621118654,211265003.63230127,S23 (SBS28 - 0.96),-0.0006763661323523351,S5 (SBS5 - 0.98),-0.28966816051079936,S10 (SBS10a - 1.00),4081055080.2140665,S18 (SBS19 - 0.95),173919.02794197501
2,59633,-0.052075551683198065,243107349.35482988,S12 (SBS11 - 0.99),-0.0007434995229458341,S5 (SBS5 - 0.98),-0.29030335706018673,S10 (SBS10a - 1.00),4010072051.155899,S18 (SBS19 - 0.95),228326.78459750145
3,91540,-0.05338823423455512,292387801.42833406,S14 (SBS14 - 0.98),-0.0010090478761013433,S5 (SBS5 - 0.98),-0.2909089949037309,S10 (SBS10a - 1.00),6822083084.470891,S18 (SBS19 - 0.95),56817.99904741405
4,77214,-0.05712878141604384,197270369.39289102,S21 (SBS23 - 0.94),-0.0014235929184107654,S5 (SBS5 - 0.98),-0.3011620948243088,S10 (SBS10a - 1.00),3746828516.832858,S24 (SBS31 - 0.98),145895.59428096618
5,68063,-0.052973963099087654,274299395.5151301,S14 (SBS14 - 0.98),-0.0008572492358294159,S3 (SBS3 - 0.97),-0.2507793851781397,S10 (SBS10a - 1.00),5608266594.170259,S18 (SBS19 - 0.95),165667.9343669809
6,62092,-0.05120670386522637,318039446.48013216,S23 (SBS28 - 0.96),-0.000774869725933991,S5 (SBS5 - 0.98),-0.24953961004138248,S10 (SBS10a - 1.00),7050217030.784501,S24 (SBS31 - 0.98),209347.29056304917
7,40802,-0.05057532137201029,250628998.79113683,S19 (SBS20 - 0.98),-0.0012789827664725362,S3 (SBS3 - 0.97),-0.2786317172184589,S10 (SBS10a - 1.00),5407838275.227287,S21 (SBS23 - 0.94),104062.98301997008
8,10618,-0.03945807761897106,238368785.03776208,S11 (SBS10d - 0.98),-0.0013773760907416221,S17 (SBS18 - 0.97),-0.16408377417038755,S10 (SBS10a - 1.00),5938338174.369357,S21 (SBS23 - 0.94),37349.87691270017
9,10116,-0.04247238829896463,244423666.97897223,S12 (SBS11 - 0.99),-0.0013521654256625215,S3 (SBS3 - 0.97),-0.2843953791646088,S10 (SBS10a - 1.00),5302996655.761794,S18 (SBS19 - 0.95),165462.4311550094
10,27162,-0.052917965436181325,256677335.21018174,S12 (SBS11 - 0.99),-0.0014952885992334242,S5 (SBS5 - 0.98),-0.3018317728505908,S10 (SBS10a - 1.00),5009617483.482063,S21 (SBS23 - 0.94),21033.11206145952
11,779,-0.04642872589421546,287005619.14312744,S21 (SBS23 - 0.94),-0.002043287875580946,S3 (SBS3 - 0.97),-0.25532539148935984,S10 (SBS10a - 1.00),6410125445.1556015,S24 (SBS31 - 0.98),156118.30485747627
