,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
0,79519,0.6179082142878717,10187531.58932731,S10 (SBS10a - 1.00),0.9989316036368724,S27 (SBS88 - 0.92),-5.161618984561339,S14 (SBS14 - 0.98),147583278.3889481,S21 (SBS23 - 0.94),76304.02493172238
1,59022,0.7734923318497068,11879767.199541152,S10 (SBS10a - 1.00),0.9991966170153634,S28 (SBS92 - 0.95),0.12967650120695207,S14 (SBS14 - 0.98),179597284.54551816,S13 (SBS13 - 0.99),172073.88404401892
2,2105,0.6665378166587979,7485177.1447455445,S10 (SBS10a - 1.00),0.999072834372894,S27 (SBS88 - 0.92),-2.0035589203246613,S14 (SBS14 - 0.98),65148605.20196963,S13 (SBS13 - 0.99),190229.57908168933
3,60784,0.7693561858062371,12776058.12871208,S10 (SBS10a - 1.00),0.9991568577489365,S18 (SBS19 - 0.95),-0.13005390345431533,S14 (SBS14 - 0.98),176726380.47032115,S13 (SBS13 - 0.99),166888.28971992768
4,46792,0.5274564764137922,9051640.660317482,S10 (SBS10a - 1.00),0.9986184201403939,S18 (SBS19 - 0.95),-6.186396342271584,S14 (SBS14 - 0.98),105503867.15934248,S21 (SBS23 - 0.94),24961.637007654033
5,1493,0.679403602905801,7843434.596575041,S10 (SBS10a - 1.00),0.9988157070835223,S27 (SBS88 - 0.92),-2.1181056121258623,S23 (SBS28 - 0.96),101129472.12654412,S13 (SBS13 - 0.99),75405.65685979823
6,11105,0.7249381208207104,12832307.983313238,S10 (SBS10a - 1.00),0.9975456443664728,S8 (SBS8 - 0.92),-0.6749867219513308,S14 (SBS14 - 0.98),243141116.17753604,S13 (SBS13 - 0.99),76022.47941038081
7,12122,0.8098515025064514,7206850.65534388,S6 (SBS7a - 1.00),0.9976454350919309,S3 (SBS3 - 0.97),-0.6965785094516705,S14 (SBS14 - 0.98),94413664.37923111,S21 (SBS23 - 0.94),108190.87630277872
8,58377,0.7236149409663654,10041319.828471012,S10 (SBS10a - 1.00),0.998488335011469,S27 (SBS88 - 0.92),-1.3898731355883305,S14 (SBS14 - 0.98),113145975.26433007,S13 (SBS13 - 0.99),147911.251125909
9,86581,0.7506016520698711,17108788.390122917,S10 (SBS10a - 1.00),0.9982252310342512,S3 (SBS3 - 0.97),-1.1144007090507309,S23 (SBS28 - 0.96),230305182.00495204,S13 (SBS13 - 0.99),115801.94493095216
