,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
0,61837,-10.390142708743081,75213415.5509036,S10 (SBS10a - 1.00),0.9972278267447289,S17 (SBS18 - 0.97),-304.4974535494243,S17 (SBS18 - 0.97),516856983.7430964,S13 (SBS13 - 0.99),140097.05175413543
1,94936,-4.902924870837375,182655322.76540208,S10 (SBS10a - 1.00),0.9920071151432976,S17 (SBS18 - 0.97),-130.7974177150109,S19 (SBS20 - 0.98),2050282180.3187885,S18 (SBS19 - 0.95),228960.85779928262
2,43073,-6.156278952355942,108551973.27459507,S10 (SBS10a - 1.00),0.9980762022856445,S17 (SBS18 - 0.97),-177.35850172786678,S14 (SBS14 - 0.98),1081195998.0082512,S24 (SBS31 - 0.98),693250.4044752172
3,30683,-1.8884493341280189,68058222.238978,S10 (SBS10a - 1.00),0.996716534454274,S17 (SBS18 - 0.97),-70.34406049620853,S17 (SBS18 - 0.97),640333932.9307698,S18 (SBS19 - 0.95),337740.27625221823
4,62023,-11.935377501346055,50791359.68438255,S10 (SBS10a - 1.00),0.9977084551328567,S17 (SBS18 - 0.97),-269.33482533339145,S17 (SBS18 - 0.97),505514416.7824387,S21 (SBS23 - 0.94),30491.463264499915
5,2039,-6.340980736003055,158139894.73861656,S10 (SBS10a - 1.00),0.993930009327452,S17 (SBS18 - 0.97),-148.9221291212207,S17 (SBS18 - 0.97),1363783922.572279,S13 (SBS13 - 0.99),323132.4859411181
6,85500,-2.922213232476159,87315796.26210631,S10 (SBS10a - 1.00),0.9970351005840852,S17 (SBS18 - 0.97),-72.1136234519063,S12 (SBS11 - 0.99),932076093.0438116,S13 (SBS13 - 0.99),348795.3496275029
7,3153,-9.263083389144828,138458976.9367845,S6 (SBS7a - 1.00),0.9940711779073331,S9 (SBS9 - 0.94),-156.19107306012253,S9 (SBS9 - 0.94),1335918858.689961,S21 (SBS23 - 0.94),106674.3793309002
8,94675,-7.4461949143754875,324872451.8550207,S10 (SBS10a - 1.00),0.9933022491720122,S17 (SBS18 - 0.97),-218.00798689791296,S19 (SBS20 - 0.98),4685699604.640978,S21 (SBS23 - 0.94),59230.41099352032
9,59285,-3.8500667700564946,122869018.7153362,S10 (SBS10a - 1.00),0.9963124628419611,S17 (SBS18 - 0.97),-115.06155902665073,S19 (SBS20 - 0.98),1813353130.1965015,S18 (SBS19 - 0.95),288590.77454842895
10,78364,-0.5735267083107787,151413253.24326223,S10 (SBS10a - 1.00),0.9966592674710466,S17 (SBS18 - 0.97),-9.709804151318046,S19 (SBS20 - 0.98),2624291596.8940187,S18 (SBS19 - 0.95),201203.37696358448
11,69272,-2.5832810301958125,93777095.82069644,S6 (SBS7a - 1.00),0.9945503578925382,S17 (SBS18 - 0.97),-72.79926771940843,S19 (SBS20 - 0.98),1739667158.478799,S13 (SBS13 - 0.99),95395.46648213394
12,12978,-2.994234731808889,206631988.53435218,S10 (SBS10a - 1.00),0.9976151258682923,S17 (SBS18 - 0.97),-87.52743779726217,S19 (SBS20 - 0.98),2807517294.0264163,S18 (SBS19 - 0.95),398893.0016992604
13,79047,-6.316834242320661,96981752.04619351,S10 (SBS10a - 1.00),0.9865057567631991,S17 (SBS18 - 0.97),-129.57939579000592,S19 (SBS20 - 0.98),1145925523.3839855,S13 (SBS13 - 0.99),422392.82268440875
14,82703,-6.390404322468893,50691036.78672662,S10 (SBS10a - 1.00),0.996628650614421,S17 (SBS18 - 0.97),-193.2065255537748,S17 (SBS18 - 0.97),339426066.4107384,S18 (SBS19 - 0.95),328044.6723784317
15,97725,-14.879396169484918,118691217.94224787,S10 (SBS10a - 1.00),0.9962787936008345,S17 (SBS18 - 0.97),-230.339883707929,S9 (SBS9 - 0.94),1333669217.6259406,S13 (SBS13 - 0.99),283161.5406625088
16,35319,-5.921596545300795,185144803.005731,S10 (SBS10a - 1.00),0.9979583229933067,S17 (SBS18 - 0.97),-165.03034206084556,S19 (SBS20 - 0.98),1800402486.6644714,S13 (SBS13 - 0.99),581081.3608691161
17,12926,-1.0686055238244114,57430665.50821369,S10 (SBS10a - 1.00),0.9956617482331279,S17 (SBS18 - 0.97),-46.194192711574665,S19 (SBS20 - 0.98),852545575.6349742,S13 (SBS13 - 0.99),143709.85601283875
18,21694,-5.395133533742898,129451860.0824052,S10 (SBS10a - 1.00),0.9966387902908496,S17 (SBS18 - 0.97),-100.03642707110525,S9 (SBS9 - 0.94),1417664872.1188033,S13 (SBS13 - 0.99),216804.86640566355
19,62044,-5.7183880106048255,66646684.415115215,S6 (SBS7a - 1.00),0.9974039186484515,S17 (SBS18 - 0.97),-174.62011549532605,S14 (SBS14 - 0.98),1156857308.7983246,S13 (SBS13 - 0.99),131788.51243180057
