"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS10a","SBS10b","SBS10c","SBS10d","SBS11","SBS12","SBS13","SBS14","SBS15","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS20","SBS21","SBS22","SBS23","SBS24","SBS25","SBS26","SBS27","SBS28","SBS29","SBS30","SBS31","SBS32","SBS33","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS42","SBS43","SBS44","SBS45","SBS46","SBS47","SBS48","SBS49","SBS50","SBS51","SBS52","SBS53","SBS54","SBS55","SBS56","SBS57","SBS58","SBS59","SBS60","SBS84","SBS85","SBS86","SBS87","SBS88","SBS89","SBS90","SBS91","SBS92","SBS93","SBS94","SBS95"
"0009b464-b376-4fbc-8a56-da538269a02f",286.187375234778,649.024954231599,0,0,1515.30159874938,301.665324211342,0,0,0,0,2512.95506744878,0,9.07361033233674,0,0,0,0,0,758.662904580844,0,0,0,0,0,0,56.42222325148,0,0,0,0,0,1235.79650893065,0,0,0,449.919790905358,0,0,188.674029568832,0,0,1781.17515218093,0,0,0,0,2986.63975471624,82.0679510165436,0,0,0,0,0,0,0,0,445.232489892965,0,0,0,0,0,0,0,71.5799891472104,55.1353686011281,0,325.530472462436,0,156.187616300181,0,0,8.14505976114769,0,0,0,0,0,0
"00493087-9d9d-40ca-86d5-936f1b951c93",527.369371631565,0,46.3153752032416,0,337.268641839644,0,0,0,0,13.7912285576096,0,0,0,0,24.9110537285534,0,0,239.200632783519,0,0,8.27718570828458,110.138125523178,0,0,0,87.9569432069344,0,0,0,141.252380845746,0,0,0,0,0,0,36.7747344857788,0,0,27.8342609710543,0,0,0,0,0,0,137.849635049992,0,44.6539301807934,0,44.1721389272981,0,0,0,0,0,112.871286973605,0,0,0,0,0,0,40.8604355568161,0,0,0,40.5523841608549,83.6946652424717,0,0,18.0501202182009,0,0,0,183.459532195683,0,0,0
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",170.330019890362,30.5036385513532,0,0,644.844813511935,0,0,46.383650974928,0,10.8620819383157,0,0,0,0,0,0,0,0,0.0745788814710562,0,0,0,0,0,0,53.7473604480385,0,0,0,0,0,0,0,0,0,0,137.337339478818,0,0,0,0,0,0,0,0,0,386.597894230693,0,0,0,0,0,0,0,0,0,0,65.8765120710425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6775116284762,0,0,291.506723112443,0,113.598471154229,0
"005794f1-5a87-45b5-9811-83ddf6924568",124.380830672141,3.96822684564018,89.8321830218009,0,10.5299422397971,86.3405276214115,16.3059538280641,4.04222143494823,6.20716198040708,0,307.207005983482,0,0,0.747587184379156,0,23.1265732146747,0,53.5618736874813,0,0,0,0,0,0,54.9529997096711,115.502827921891,15.6530643140173,0,217.638622789209,0,0,83.6242184987449,0,0,0,0,0,63.4327713045426,265.757402436142,0,0,0,0,25.1746228988836,0,0,3035.58363067497,0,62.5399481348831,0,50.9348761780538,0,0,0,0,0,3.49946232138932,71.9382050884571,0,0,0,0,0,0,33.1531170130959,0,0,0,0,23.4528011657483,23.8830476246329,0,1.20822325689054,0,12.7669661093918,199.502110282402,30.9769890233626,0,36.64820495255
"005e85a3-3571-462d-8dc9-2babfc7ace21",290.367174472262,0,0,0,77.5371453675036,8.14987062041541,0,0,0,16.829032027469,35.210834610237,4.02179948422838,0,19.1349373612879,0,0,0,0,0,0,10.0679946998222,0,0,0,52.4300317678724,22.5067337030941,0,4.21038001194361,0,0,0,0.17876020162135,0,4.03845506624289,0,0,50.8684088401558,0,19.3460678590045,0,20.910074662444,0,0,55.4127024115094,0,0,237.546397499671,0,0,0,95.852462553691,0,0,0,0,0,32.7158460206384,0,0,0,0,0,0,0,0,0,0,19.7313559119151,0,0,0,0,0,0,0,79.8929666676401,18.4255134881101,0,0
"008aef39-0c97-48ce-9dfd-f12d67116c59",457.410322058397,4.0034135986349,0,0,645.774951153897,0,0,0,0,17.7922067968384,77.0698403547471,0,0,0.0900199163878178,48.1394418943054,0,0,0,0,0,173.748796703722,0,0,0,78.6379573757966,0,0,64.0588372016624,0,0,0,0,0,16.4778551907918,0,63.4695473576683,0,57.5091176606301,23.3202265752457,0,23.7872829953272,0,18.8482404548828,0,0,0,918.679872133818,0,0,0,0.291125784268613,0,0,0,0,0,76.52196312252,82.8449803665949,0,0,0,0,0,0,0,0,0,0,86.6806097030361,0,0,0,0,0,0,35.8146110893415,91.6585917564015,0,0
"008bad10-d41b-4bbb-86fa-9976ecea46b1",546.952196204117,9.38281749501949,0,0,0,0,0,0,0,18.838449563692,0,2.02886699889227,0,38.1967891731884,0,0,0,64.8592902533933,11.2269735997758,0,68.8303869016857,0,0,0,0,23.9976197431822,0,3.70808503410633,0,5.31873795702328,0,65.3251584498499,0,3.32929607932335,0,0,44.2069698735716,0,29.7032441129442,0,0,0,0,0,0,0,709.411475013523,0,0,0,55.5296650984667,0,0,0,0,0,44.999093833423,0,0,0,0,0,0,12.3468477932245,0,0,0,63.8222816019332,89.9158463073506,0,0,0,0,0,0,184.601285411712,0.248945911185699,0,0
"00aa769d-622c-433e-8a8a-63fb5c41ea42",1134.36608663516,846.221455709065,0,0,0,898.640581638285,12.3783692065544,0,0,3235.55594915365,0,0,119753.003608451,41628.9646006112,0,0,2542.96912284338,0,0,0,7632.41936945434,0,0,0,0,0,0,4562.6362252629,0,0,1086.76160186122,0,0,0,47227.8479183976,206.19738821694,0,0,263.420257692141,655.149131370062,0,0,0,0,0,360.751320766736,0,5471.67906676421,0,0,0,0,0,0,89.071446044386,0,1466.22370310397,0,0,0,0,0,1318.39268015441,5964.80229549336,2060.51388556505,0,0,0,0,109.413579152623,851.958871536559,2344.6871671024,0,0,0,0,0,0,0
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",392.750588277239,39.2669552747277,0,0,711.311119799895,0,3.59457157606515,0,0,12.3268580756015,1.86292544807047,1367.81457166358,0,0,0,0,0,0,0,67.952221170396,0,0,4.08909008617367,0,114.669643623581,7.75957298674333,0,0,0,0,0,81.2722000694997,145.022171300574,0,0,0,0,0,139.46918120631,0,13.5369647030257,0,0,62.2932721129983,0,0,0,0,12.6420729420868,0,0,0,74.6341686212576,24.366153919926,0,0,41.9074561804828,0,0,0,3.19092412701009,0,0,0,58.5587021629041,0,0,54.7432026632344,163.176048525575,0,41.9028180695407,0,0,0,0,29.9078881159134,171.794393906536,115.277387452184,17.8680892115457
"00bf0350-8c7c-4b9e-8143-13ea2dc1122f",66.0793346137288,12.7097648142008,0,0,0,79.347670598965,8.7177330712329,0,0,18.3487351243231,166.103511956202,0,0,11.7037861268162,0,0,0,0,6.37703190728497,0,0,0,0,0,378.00515686745,0,0,20.6297507461602,94.7566440228804,0,0,0,0,0,0,0,0,0,16.1163702897457,0,0,0,3.71613578737076,0,0,0,3431.63529524701,0,0,0,72.3789329832373,0,0,72.0271223720616,0,0,5.05116789090967,0,0,0,0,0,0,13.6930942327383,53.7061429210991,0,0,0,45.5696252817904,0,0,0,0,0,0,202.283357566714,11.1366936398537,0,0
